Country or Area,Year,Commodity,Flow,Trade (USD),Weight (kg),Quantity Name,Quantity,code
China,2022,"Fish; fresh or chilled, jack and horse mackerel (Trachurus spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",Import,148236.0,9319.0,Weight in kilograms,9319.0,3
China,2022,"Fish; fresh or chilled, cobia (Rachycentron canadum), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",Export,15838671.0,2282648.0,Weight in kilograms,2282648.0,3
China,2022,"Fish; fresh or chilled, n.e.c. in item no. 0302.4, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",Import,9978472.0,623431.0,Weight in kilograms,623431.0,3
China,2022,"Fish; fresh or chilled, n.e.c. in item no. 0302.4, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",Export,2691962.0,566868.0,Weight in kilograms,566868.0,3
China,2022,"Fish; fresh or chilled, cod (Gadus morhua, Gadus ogac, Gadus macrocephalus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",Import,50044.0,4173.0,Weight in kilograms,4173.0,3
China,2022,"Fish; fresh or chilled, cod (Gadus morhua, Gadus ogac, Gadus macrocephalus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",Export,862051.0,470848.0,Weight in kilograms,470848.0,3
China,2022,"Fish; fresh or chilled, tilapias (Oreochromis spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",Export,193205.0,58964.0,Weight in kilograms,58964.0,3
China,2022,"Fish; fresh or chilled, Carp (as specified by the WCO.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",Export,2723537.0,577379.0,Weight in kilograms,577379.0,3
China,2022,"Fish; fresh or chilled, eels (Anguilla spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",Export,851963.0,107558.0,Weight in kilograms,107558.0,3
China,2022,"Fish; fresh or chilled, Nile perch (Lates niloticus) and snakeheads (Channa spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",Export,3819.0,933.0,Weight in kilograms,933.0,3
China,2022,"Fish; fresh or chilled, rays and skates (Rajidae), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",Export,1458000.0,340600.0,Weight in kilograms,340600.0,3
China,2022,"Fish; fresh or chilled, n.e.c. in heading 0302, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",Export,252648229.0,37372313.0,Weight in kilograms,37372313.0,3
China,2022,"Fish; fresh or chilled, n.e.c. in heading 0302, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",Import,63152656.0,12564389.0,Weight in kilograms,12564389.0,3
China,2022,"Fish; fresh or chilled, livers, roes and milt",Export,27311830.0,958945.0,Weight in kilograms,958945.0,3
China,2022,"Fish; fresh or chilled, fish fins (other than shark fins), heads, tails, maws and other edible fish offal",Export,21901682.0,664354.0,Weight in kilograms,664354.0,3
China,2022,"Fish; frozen, Pacific salmon, sockeye salmon (red salmon) (Oncorhynchus nerka), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,37267970.0,4828513.0,Weight in kilograms,4828513.0,3
China,2022,"Fish; frozen, Pacific salmon, sockeye salmon (red salmon) (Oncorhynchus nerka), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Export,9.0,9.0,Weight in kilograms,9.0,3
China,2022,"Fish; frozen, Pacific salmon (Oncorhynchus gorbuscha/keta/tschawytscha/ kisutch/masou/rhodurus) other than sockeye salmon (Oncorhynchus nerka), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,481081545.0,129204661.0,Weight in kilograms,129204661.0,3
China,2022,"Fish; frozen, Pacific salmon (Oncorhynchus gorbuscha/keta/tschawytscha/ kisutch/masou/rhodurus) other than sockeye salmon (Oncorhynchus nerka), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Export,1562157.0,454235.0,Weight in kilograms,454235.0,3
China,2022,"Fish; frozen, Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,118742832.0,14483390.0,Weight in kilograms,14483390.0,3
China,2022,"Fish; frozen, Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Export,1383392.0,143030.0,Weight in kilograms,143030.0,3
China,2022,"Fish; frozen, trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster), excluding fillets, meat of 0304, and edible fish offal of 0303.91 to 0303.99",Import,23434112.0,3089631.0,Weight in kilograms,3089631.0,3
China,2022,"Fish; frozen, trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster), excluding fillets, meat of 0304, and edible fish offal of 0303.91 to 0303.99",Export,9783294.0,996940.0,Weight in kilograms,996940.0,3
China,2022,"Fish; frozen, salmonidae, n.e.c. in item no. 0303.1, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Export,27350.0,18210.0,Weight in kilograms,18210.0,3
China,2022,"Fish; frozen, salmonidae, n.e.c. in item no. 0303.1, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,60723.0,65417.0,Weight in kilograms,65417.0,3
China,2022,"Fish; frozen, tilapias (Oreochromis spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Export,164144625.0,74784079.0,Weight in kilograms,74784079.0,3
China,2022,"Fish; frozen, catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Export,5202969.0,2458040.0,Weight in kilograms,2458040.0,3
China,2022,"Fish; frozen, catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,117758247.0,51466090.0,Weight in kilograms,51466090.0,3
